Course	Room	Teacher	Time	Students
006054	PK338	0554585	3	3475959 3715155 3797740 3631215 3667464 
002161	PK278	0301910	1	3489089 3579645 3608097 3638301 3693712 3694712 3694754 3716140 3774808 3789529 3790244 3799474 3817969 3818024 3843290 3852207 3861195 3914344 3929586 3929849 3930302 3930678 3995730 3764208 3808480 3833378 3930608 3521001 3818025 3929954 3994876 3929812 3693084 3694428 4086300 3773692 3915029 3929679 3929815 3796247 3902440 3930544 3722764 3817487 3910582 3819393 3789806 3691794 
002175	PK278	3415849	3	3496439 3693813 3496673 3690043 3650239 3648550 3493748 3460343 3689500 3690806 
002178	PK278	0180723	2	3496439 3656490 3496673 3610287 3690043 3667503 3648550 3694903 3460343 3689500 3690806 3591844 
003525	DAL300	3318436	3	3544262 3578240 3929635 3819332 3789507 3667677 3902404 3819304 3690733 3768339 
016609	TH110	4273392	3	3574519 3581497 3621523 3651573 3699613 3816970 3863747 3559319 3642204 3768088 3774943 3693084 3821008 3560234 3650228 3910510 3797680 3910533 3559172 3595163 3690652 3711406 3797787 3578191 3596193 3797613 3846234 3904320 4087169 3797642 3651033 3797812 
014569	PK20	3483424	1	3560236 3619216 3716357 3822201 3822778 3914515 3915711 3968696 4001999 4002075 4003415 4093026 4093136 4094796 4095053 4095897 3852791 3904324 3957394 3970633 4001588 4095424 3921659 3797718 4024121 4095985 3823402 3923376 4091785 3918056 3689328 3789283 3929222 3969305 3988502 4095876 3995802 4003130 3914552 3914928 3989696 4007305 3460343 3847931 3891249 3910617 3928589 4075429 4092159 4093066 4093989 3910763 3975519 4002909 4040430 4077315 4093853 3930253 3995568 3869959 3921208 3901731 4091072 
006851	PK243	4172051	1	3579867 3820885 3901577 3910870 3929800 4011555 4095001 4095807 3861339 3931881 4010147 3930137 4089004 3758045 3799529 3801768 3914251 3995827 4092633 3790857 4093159 4093778 3975962 4095425 3458065 3797699 
001213	TH110	3577228	5	3581265 3611048 3630526 3651465 3699567 3704166 3774808 3929165 3953805 3668365 3931064 3818274 3690845 3714653 3910693 3910763 3694668 3797607 3910720 
007375	DAL300	4274270	1	3581497 3691983 3705083 3717137 3722992 3790792 3796007 3796148 3796964 3797168 3839352 3905868 3910343 3914814 3914875 4095224 3483059 3931959 3693185 3910464 3931202 3910474 3851345 4086473 3788616 3822995 3915155 3928966 4078277 4095206 3467384 3807883 3930831 3692316 3821766 3854016 
002460	TH110	0031568	11	3591436 3792406 3596713 
001843	PK20	0056992	3	3606536 3611135 3619216 3651816 3771823 3785953 3816108 3821231 3823307 3843290 3858715 3861195 3913863 3953805 4002075 3833378 3930608 4001588 3845742 3521001 3768515 3890005 3668420 3914928 3914502 3931466 4096174 3668763 3907037 3819393 3913807 3910704 3591774 3591844 
002164	PK180	0180723	6	3606536 3710991 3721962 3768197 3817962 3821069 3915054 3861339 3716638 3821166 3650239 3821197 3821440 3632720 3816554 
013193	PK20	0898918	9	3606536 3608097 3629467 3668196 3789529 3817668 3405604 
001899	PK20	0409956	8	3608097 3694432 3559464 3560256 3817668 3689375 3497993 3694428 3591211 3652276 3692440 
001851	PK20	0409956	4	3611135 3638301 3652353 3693712 3694712 3695145 3785953 3818024 3846717 3995730 3819332 3821097 3797164 3818762 3668420 3652276 3930547 3797716 3818064 3818807 3708949 3820745 3666570 
