Course	Room	Teacher	Time	Students
004725	PK349	0493856	11	0369592 0905682 0991213 1001894 1036442 1094520 1100338 
001836	PK25	0898918	1	0393089 0753686 0787159 0802127 0865750 1067377 1080303 1104216 1133174 1143290 1150965 1162688 1163278 1167996 3070881 3085083 3085649 3087449 3088124 3088521 3089636 3090430 3091573 3092072 3092599 3093818 3094809 3094908 3095105 3095111 3097133 3098330 3099669 3099911 3100786 3100835 3102380 3102915 3103177 3103445 3103486 3104541 3105958 3106561 3106835 3107966 3129759 3142819 3161291 3166052 3168511 3180674 3180861 3185451 3188399 3193198 3198263 3198863 3202006 3212408 3216292 3216810 3217421 3218454 3218659 3219051 3219056 3225302 3226257 
006029	PK338	0409737	2	0480377 1008967 1017832 1065796 1078680 1082842 1088214 1090564 1094134 1101406 1116854 1160158 1163391 1167714 1170303 1171905 3070344 3070438 3071136 3074792 3079862 3081669 3087352 3087444 3087449 3089081 3092431 3092999 3093221 3094719 3094992 3095105 3095335 3095719 3095842 3096011 3096547 3096962 3097133 3097636 3098799 3098883 3099165 3099911 3099986 3100110 3100408 3102316 3102380 3102599 3104541 3105170 3105854 3106561 3153272 3153273 3211369 3211884 3212471 3212915 
010724	PK349	1168490	16	0700408 1002036 1025460 1038420 1094134 
008479	DAL204	0031619	17	0827963 1053105 1079614 1098099 1144234 1150758 3076576 
008500	DAL204	0031619	15	0827963 0906618 0909942 0987937 0991120 1000750 1032929 1050781 1053105 1064270 1073544 1077003 1079614 1082799 1084017 
002472	DAL204	0493725	7	0897931 0950942 0998351 1001806 1005315 1019025 1019827 1023494 1034578 1055640 1058058 1058242 1065945 1066007 1082905 1083430 
009233	DAL204	0029475	26	0897931 1066007 1080792 3074001 
008420	DAL204	0031553	3	0900525 1039679 1064035 1086489 3070017 3073357 3092969 3095105 3098799 3099704 3100927 3127715 3180674 3196629 3199006 3202466 3212408 3224248 
001165	DAL204	0309967	2	0904680 1000750 1004225 1009559 1011104 1013197 1020478 1030693 1037745 1056281 1067933 1068526 1077065 1077815 1079771 1095157 1095596 1115477 1126492 1129814 1140609 1150699 1160614 1163326 1163860 1169109 3064940 3064977 3068712 3070406 3082682 3090266 3091295 3092599 3092972 3094033 3094908 3095968 3097158 3097462 3098330 3102000 3104489 3174234 
011044	DAL204	3213249	29	0904680 1020083 3186604 3224248 
001213	PK25	0031471	3	0905682 0987937 0988263 1011104 1018817 1025569 1055078 1057261 1077417 1077874 1078198 1080303 1081101 1087782 1088882 1092999 1101350 1103391 1115477 1129814 1134015 1170071 3072293 3082398 3082830 3085521 
001838	PK25	0168763	2	0905682 1020083 1056203 1056815 1065646 1067297 1080653 1082799 1087116 1088384 1100383 1105086 1116377 1149565 1161960 1164190 1169386 1170860 3074711 3074936 3075745 3075829 3079272 3080198 3086180 3086565 3087493 3092969 3095588 3099467 3099704 3099729 3103807 3105820 3106953 3107323 3107993 3160149 3160321 3199401 3199454 3201900 3224949 
001862	PK25	0031557	7	0906963 0988263 0992796 1009559 1017492 1064605 1066309 1077413 1082907 1088558 1088785 1099059 1143639 1150699 1158007 1169962 1170303 3080595 
006042	PK338	0409737	6	0909942 1036027 1036225 1055348 1058223 1065796 1068526 1077482 1080653 1088384 1096470 1143290 1146370 1150965 1159063 3070406 3072594 3073666 3086400 3097341 
006044	PK338	0207327	5	0909942 0948095 0987600 1005082 1006438 1006444 1009729 1020520 1025629 1025644 1035148 1036225 1037541 1049929 1055348 1058223 1059469 1065183 1065796 1067334 1068526 1076989 1077161 1080653 1082842 1089147 1096470 1104216 1146370 1157047 3072477 3072594 3073169 3073666 3075188 3076211 3079376 3093174 3097607 
001151	DAL204	0309967	1	0918549 1068549 1080808 1088120 1090933 1100129 1102354 1116854 1131189 1170757 3064940 3071094 3072063 3073138 3073146 3074289 3082398 3086015 3087394 3087465 3087983 3088421 3089341 3090066 3090785 3092236 3092580 3093369 3095050 3095588 3096592 3097953 3098747 3099165 3099989 3100155 3102105 3102278 3102316 3104653 3105818 3107589 3116805 3118334 3126626 3129544 3130894 3132705 3134180 3153098 3158421 3160321 3161051 3167586 3172803 3196371 3201250 3202261 3211569 3212786 3212902 3216872 3218938 3219871 3220365 3223998 
001841	PK229	0814748	22	0918549 1003644 1025533 1029566 1049299 1055290 1064752 1065142 1077874 1083594 1085106 1088558 1088785 1099178 1150699 1170303 1171905 3071094 3072484 3080595 
002564	PK349	1168490	18	0948095 3070476 3094287 
011035	PK349	3213250	3	0948095 1020520 1034405 1080789 1102030 1170567 3080595 3088812 3089636 3092236 3094992 3100824 3144208 3153273 3157738 3218962 
011325	PK349	0554585	13	0948095 1024283 1049929 1059469 1076989 1079771 
002464	DAL204	3208421	9	0950942 1019827 1034578 1055640 1056910 1059469 1065654 1149270 3070090 3073692 3074001 3080592 
011045	DAL204	3213249	34	0952443 3105802 3105818 
006036	PK349	0031526	6	0958492 1006444 1020520 1024283 1025644 1049929 1081917 1090564 1094134 1104216 1157047 
006059	PK349	0031384	5	1000355 1005059 1018936 1036027 1056722 1077482 1081917 
011294	PK25	0135660	12	0987937 1025569 1055078 1058421 1067726 1079993 1092999 1102030 1137955 1170071 1170479 
001248	PK25	0135660	10	0988263 0999733 1011104 1018817 1025508 1025569 1055078 1057261 1077417 1079993 1170479 3082398 
004666	PK349	0775640	1	0988603 1001613 1055441 1056600 1058421 1077003 1078655 1086867 1111549 1117320 1141220 3072910 3077336 3112960 3199412 
011326	DAL204	1051497	10	0998351 1019827 1039943 1046086 1056270 1056910 1065945 1086710 1097648 1141167 3070090 3195980 
001845	PK25	0123161	8	1001613 1036442 1057261 1058180 1076783 1081006 1095157 1143290 1163860 3068712 3073507 3074792 3096592 3099359 3106835 
001852	PK229	0409956	7	1001613 1021867 1038420 1055290 1159063 
002469	DAL204	0697660	18	1001806 1023494 1058242 1066007 1083430 1084017 
009359	DAL204	0031386	35	1001905 1047318 1146370 
011296	DAL204	0468281	27	1001905 1004225 1040045 1057004 
006026	PK338	0207327	3	1003389 1006744 1029787 1040045 1046439 1066431 1067251 1067297 1067460 1076009 1077161 1078646 1078896 1078921 1083430 1086867 1100383 1117264 1149270 1164190 1171002 3073143 3073568 3074936 3077033 3078073 3085504 3085810 3086747 3092880 3094722 3099468 3102832 3103826 3112294 3127208 3217527 3219871 3224993 3225012 3225022 
001892	PK229	0814748	9	1003644 1038420 1067933 
011295	PK25	3208554	11	1003644 1006744 1045379 1056688 1066309 1082842 1088636 1095157 1143290 1160614 3073507 3099957 
001864	PK229	0031557	8	1004225 1020150 1029737 1041559 1082315 1085106 1143723 1150965 3072484 
001894	PK229	0123161	10	1010643 1029737 1078921 1079771 
001196	DAL204	1051497	36	1010741 1055078 3219221 
006023	PK338	0301909	1	1010741 1021867 1044561 1095349 1095814 1100338 1101031 1136830 1149565 1161482 1163326 1163417 1169386 1170001 1170021 1170848 3065039 3070536 3072890 3074930 3075759 3075829 3076022 3076489 3077623 3085513 3087347 3087433 3088988 3091653 3092969 3094033 3095387 3095725 3098796 3100678 3100824 3101841 3104067 3104899 3105895 3106525 3106762 3107001 3107323 3107993 3108046 3111592 3112067 3112448 3113444 3113981 3118205 3125668 3129160 3130435 3133451 3134217 3134309 3149956 3156597 3158316 3159218 3160150 3160245 3162638 3163273 3182934 3184743 3184966 3186688 3192700 3192954 3197293 3197712 3198788 3199006 3199401 3200235 3200739 3200866 3201354 3201574 3201900 3202451 3205483 3211821 3211857 3212095 3213032 3217578 3217605 3217652 3219305 3220795 
001185	PK25	0123161	9	1011104 1059677 1088882 1115477 1129814 1140609 1160614 1170757 3071094 3072293 3086747 3098796 3105612 
002569	PK349	0564741	14	1017339 1142227 1171297 3076211 3077471 3105046 
