Course	Room	Teacher	Time	Students
002412	BYC127	0031373	1	3397840 3484887 3639772 3693280 3576753 3476908 3595071 3464327 3505185 3476864 3486838 3631042 3691514 3668911 
001839	PK20	0898918	3	3426943 3462817 3463768 3470393 3474620 3481813 3487266 3505157 3521461 3561074 3576260 3580261 3581605 3650578 3480999 3481203 3485550 3486782 3581920 3516634 3470846 3482739 3543742 3581232 3581081 3650277 3457988 3480732 3483467 3457873 3477425 3485169 3557244 3472549 3576475 3576522 
001845	PK20	0123161	5	3426943 3496673 3501476 3560256 3577167 3580261 3638301 3694428 3487090 3559963 3477014 3580326 3478419 3689375 3768458 3823130 3591211 3472549 3481862 3576510 3668782 
002153	PK180	3897776	6	3426943 3638301 3694428 3574519 3666801 3690204 3712888 3820774 
005263	TAYD	0493855	1	3447322 3482989 3581870 3485537 3433686 3457873 3464306 3484361 3462019 3576417 3576423 3576529 3668912 3668941 3668971 
006846	PK243	3461209	13	3451168 3480714 3481664 3485848 3496673 3521461 3577485 3581456 3591591 3638301 3650578 3651017 3668196 3691416 3691981 3483298 3579864 3631215 3489089 3558796 3575483 3651605 3695368 3470846 3691241 3693789 3650956 3693224 3461197 3481943 3481805 3574137 3591844 3694780 3693813 3430298 3105802 3482323 3482592 3576311 3576367 3576403 3576406 3576421 3576464 3576496 3576536 3668790 3668829 3668846 3668912 3669022 3669050 3797616 
013192	PK20	3459335	6	3451168 3486379 3487055 3521461 3529298 3481203 3483587 3692269 3464327 3470846 3543742 3481702 3481690 3457988 3480732 3477425 3576411 
006023	PK338	1141520	1	3443522 3462293 3581609 3651439 3666520 3671851 3689893 3690778 3692849 3557742 3578747 3668538 3691983 3692761 3479085 3485756 3667749 3691834 3692098 3695434 3695510 3689402 3694813 3572330 3668623 3533093 3631101 3580714 3693253 3491953 3645720 3694754 3568636 3576002 3577146 3619718 3642332 3575266 3606290 3609553 3612427 3630501 3650239 3651585 3652353 3665300 3667464 3690799 3690845 3691228 3691783 3692862 3699567 3708638 3710476 3716140 3722764 3722992 3725997 3769368 3773692 3774943 3775417 3788990 3789136 3789175 3796906 3797164 3797532 3797576 3816104 3816336 3816993 3817087 3818024 3818676 3818762 3818773 3818807 3819177 3819598 3820037 3820732 3820961 3821077 3821088 3821162 3821179 3821195 3821231 3821439 3821440 3821588 3815902 3816924 3821097 3559225 3689931 3621523 3689991 3576425 3668810 3669002 3797673 3797718 3797728 
011230	PK338	0564741	7	3463439 3486858 3521272 3576013 3581171 3575916 3452445 3581227 3465103 3480867 3480401 
001898	PK20	3577231	8	3463768 3475573 3476797 3480217 3487055 3462514 3461197 3467093 3481862 
