Students	1385
1	41 65 8 30
2	19 8 35 55
3	38 57 17 60
4	30 11 16 85
5	44 8 53 15
6	15 44 67 7
7	26 3 47 52
8	33 77 18 49
9	68 20 40 13
10	76 51 11 83
11	84 45 51 50
12	8 41 16 82
13	57 31 14 41
14	75 68 14 62
15	79 49 53 48
16	55 35 72 84
17	3 80 11 75
18	57 42 58 33
19	76 2 79 68
20	53 30 1 9
21	65 31 80 2
22	8 35 31 18
23	15 54 49 39
24	71 76 57 60
25	4 66 22 78
26	10 83 41 35
27	27 64 14 3
28	80 39 22 2
29	10 32 86 82
30	22 66 33 3
31	11 24 1 6
32	85 59 35 47
33	6 4 27 62
34	83 49 85 20
35	55 14 57 63
36	45 79 31 47
37	69 13 22 48
38	35 71 72 42
39	50 84 48 7
40	45 41 65 9
41	34 54 43 52
42	29 28 38 3
43	37 34 4 59
44	19 50 75 23
45	76 64 17 54
46	11 45 64 72
47	48 49 61 21
48	38 25 8 16
49	54 76 3 27
50	9 45 17 73
51	31 34 37 81
52	33 14 29 34
53	40 62 28 4
54	53 13 81 31
55	33 16 49 85
56	57 85 82 23
57	23 77 74 1
58	66 56 49 63
59	32 51 15 47
60	22 72 65 46
61	17 35 36 31
62	25 36 82 46
63	1 69 50 32
64	4 76 36 77
65	9 2 28 40
66	5 15 72 30
67	10 55 57 60
68	10 9 75 65
69	36 43 69 63
70	40 59 55 25
71	39 11 37 63
72	1 57 21 65
73	5 45 78 69
74	32 74 5 46
75	51 38 77 68
76	4 27 10 80
77	7 5 4 37
78	86 85 55 19
79	57 16 7 54
80	53 14 42 44
81	46 14 48 75
82	45 18 17 31
83	20 23 61 26
84	14 19 21 40
85	2 7 52 4
86	53 74 11 43
87	28 70 68 84
88	80 15 76 85
89	34 20 19 67
90	36 69 56 6
91	6 58 85 17
92	85 38 29 65
93	2 40 1 71
94	37 71 1 43
95	62 58 31 25
96	63 22 35 74
97	4 24 33 68
98	69 82 67 75
99	72 4 59 64
100	24 70 21 29
101	64 19 17 51
102	43 40 17 60
103	78 74 36 19
104	6 10 42 83
105	13 1 25 31
106	11 13 51 71
107	11 14 76 29
108	6 42 69 48
109	81 39 8 71
110	57 14 13 54
111	13 77 10 24
112	17 62 53 79
113	24 25 41 59
114	9 35 66 86
115	75 11 31 4
116	85 58 38 20
117	20 49 40 39
118	75 31 55 58
119	66 79 37 60
120	47 32 7 34
121	71 11 42 68
122	46 53 73 83
123	20 84 11 32
124	20 49 59 78
125	26 23 32 4
126	74 6 14 70
127	82 52 27 50
128	79 56 32 81
129	50 58 64 74
130	16 65 50 66
131	35 70 51 60
132	18 48 34 26
133	26 33 61 52
134	47 44 72 67
135	30 81 25 59
136	75 72 69 44
137	66 13 15 68
138	78 9 73 27
139	60 1 21 7
140	52 69 59 50
141	18 86 13 37
142	43 54 41 75
143	22 51 50 32
144	35 52 69 11
145	58 49 84 62
146	27 70 32 19
147	33 40 12 80
148	55 42 38 75
149	44 29 34 21
150	27 13 71 2
151	33 25 66 81
152	29 11 35 71
153	74 31 17 70
154	24 81 50 39
155	20 14 43 80
156	56 27 32 17
157	85 28 6 72
158	9 48 81 73
159	14 35 7 59
160	25 24 62 5
161	61 79 39 15
162	6 64 7 69
163	39 16 66 62
164	25 23 11 50
165	46 25 86 77
166	22 29 52 73
167	31 2 74 78
168	84 64 32 43
169	54 44 62 27
170	53 76 81 38
171	72 80 70 21
172	80 63 22 59
173	36 2 31 13
174	9 16 49 1
175	1 24 37 79
176	65 51 52 66
177	66 82 54 67
178	59 43 84 61
179	84 48 12 49
180	66 46 38 1
181	54 65 71 66
182	10 60 30 20
183	49 32 31 39
184	69 64 72 36
185	12 36 32 5
186	58 26 67 51
187	63 40 11 72
188	31 49 10 75
189	15 65 77 2
190	65 68 18 82
191	31 57 47 61
192	25 57 6 17
193	45 36 76 66
194	73 12 56 64
195	4 70 64 50
196	11 67 84 22
197	27 55 22 30
198	68 3 71 35
199	33 24 48 7
200	62 12 10 81
201	30 67 55 54
202	49 24 85 52
203	67 2 71 49
204	9 75 80 73
205	65 37 50 54
206	3 16 17 13
207	13 72 35 1
208	34 49 27 26
209	65 60 52 28
210	18 53 17 21
211	26 84 76 86
212	67 8 10 46
213	56 32 29 60
214	82 46 75 2
215	25 30 43 35
216	54 63 18 29
217	61 4 37 72
218	15 64 60 5
219	35 57 67 39
220	45 14 21 81
221	18 36 9 11
222	34 22 79 25
223	61 42 4 48
224	67 27 34 70
225	26 18 42 71
226	42 58 26 39
227	34 11 75 25
228	62 80 41 44
229	27 5 55 62
230	36 56 3 37
231	75 16 31 54
232	66 40 76 22
233	68 21 52 65
234	53 22 10 76
235	40 31 26 24
236	50 20 1 84
237	64 3 80 24
238	60 49 75 36
239	65 50 41 43
240	42 81 62 61
241	29 67 71 56
242	42 34 23 76
243	25 26 36 7
244	23 22 84 39
245	7 27 1 10
246	21 72 46 82
247	75 31 25 13
248	70 8 48 28
249	24 39 8 21
250	6 25 82 54
251	50 13 7 77
252	84 61 78 74
253	65 50 54 70
254	39 4 76 25
255	25 34 35 61
256	71 63 51 31
257	2 19 62 68
258	44 29 5 19
259	1 80 10 81
260	84 32 39 20
261	3 32 12 73
262	23 40 57 11
263	64 46 85 81
264	28 1 4 67
265	59 18 28 31
266	70 16 25 23
267	59 82 52 64
268	3 69 19 27
269	17 31 57 64
270	77 18 75 13
271	63 50 14 38
272	4 32 37 75
273	67 32 82 48
274	48 86 41 65
275	65 9 29 32
276	72 42 82 58
277	84 48 10 82
278	38 44 75 62
279	5 41 36 43
280	40 55 68 13
281	4 13 56 48
282	10 68 33 59
283	20 74 7 44
284	4 81 85 46
285	74 11 59 46
286	16 63 62 73
287	61 37 72 32
288	36 57 46 50
289	36 9 29 35
290	53 46 30 29
291	32 7 83 40
292	59 8 16 63
293	78 15 68 26
294	48 66 34 85
295	23 53 43 45
296	64 66 78 68
297	73 51 26 42
298	39 83 43 53
299	7 63 41 83
