Students	361
1	46 26 12 43
2	10 9 41 30
3	31 33 53 20
4	7 15 12 35
5	17 35 28 38
6	51 5 45 33
7	22 46 16 19
8	46 27 57 8
9	34 3 35 37
10	24 9 28 19
11	47 33 25 21
12	47 57 12 30
13	39 16 24 9
14	40 51 46 12
15	45 5 36 55
16	1 39 15 50
17	60 15 58 54
18	17 22 33 26
19	60 54 9 19
20	15 60 58 10
21	23 52 42 17
22	55 49 13 58
23	60 51 40 45
24	6 20 14 49
25	58 38 42 6
26	6 3 28 41
27	3 42 8 30
28	48 41 13 20
29	38 28 14 6
30	37 36 59 13
31	34 37 20 30
32	45 19 49 25
33	57 42 48 13
34	21 9 5 20
35	20 17 39 42
36	5 41 60 16
37	44 25 37 7
38	60 53 9 31
39	49 11 39 58
40	26 13 42 4
41	48 11 55 49
42	16 53 32 8
43	18 53 31 32
44	49 40 22 10
45	31 30 49 57
46	44 20 34 22
47	1 40 31 12
48	28 30 20 11
49	31 17 42 25
50	31 16 6 10
51	35 49 28 11
52	26 34 14 22
53	9 40 19 12
54	18 23 21 26
55	40 23 27 47
56	3 14 42 40
57	16 51 5 36
58	31 32 39 9
59	41 10 59 34
60	45 49 47 30
61	48 49 41 58
62	59 43 19 50
63	25 38 8 17
64	23 31 5 59
65	22 41 26 27
66	42 23 14 13
67	58 23 10 49
68	57 45 27 53
69	60 28 41 42
70	42 12 22 57
71	51 59 12 26
72	27 41 24 4
73	42 29 6 52
74	23 32 6 52
75	43 58 26 48
76	58 32 6 36
77	6 60 33 47
78	15 2 26 41
79	28 9 11 2
80	20 52 4 60
81	13 1 30 32
82	8 4 12 31
83	13 29 41 19
84	8 45 25 26
85	57 38 41 33
86	24 22 41 47
87	52 3 20 27
88	48 54 9 36
89	27 4 31 51
90	14 12 25 60
91	55 30 23 29
92	32 12 2 59
93	26 20 12 55
94	45 60 41 29
95	54 43 17 26
96	26 37 5 19
97	5 34 45 31
98	37 23 57 19
99	12 31 36 60
100	58 5 12 31
101	50 31 9 14
102	43 32 14 59
103	37 10 6 26
104	35 1 22 45
105	43 23 35 20
106	35 5 43 49
107	15 59 27 31
108	52 5 43 20
109	57 31 3 53
110	28 48 54 56
111	47 52 20 57
112	21 48 37 27
113	39 35 45 53
114	5 9 56 36
115	13 56 38 15
116	22 24 31 44
117	60 48 44 21
118	19 15 45 22
119	32 35 26 52
120	32 39 16 15
121	22 6 57 37
122	25 5 7 17
123	58 19 49 14
124	12 20 13 18
125	4 26 43 13
126	34 44 31 19
127	36 27 54 56
128	12 44 6 17
129	54 49 6 9
130	1 8 50 39
131	31 29 25 15
132	41 6 46 21
133	32 25 44 23
134	41 39 58 17
135	55 35 48 45
136	56 16 6 37
137	26 59 10 53
138	18 10 54 31
139	44 39 49 37
140	23 40 41 14
141	56 34 45 40
142	36 59 56 40
143	52 59 11 25
144	11 39 34 8
145	39 22 37 6
146	53 39 43 24
147	15 23 21 42
148	51 28 17 35
149	37 33 48 54
150	28 24 8 14
151	20 13 12 17
152	57 37 40 59
153	2 44 12 35
154	36 37 53 45
155	49 48 11 15
156	52 12 38 14
157	10 57 41 8
158	4 60 9 53
159	55 40 49 27
160	37 47 29 25
161	33 36 16 39
162	8 57 46 18
163	19 41 12 48
164	8 43 37 32
165	9 24 37 45
166	46 6 22 23
167	3 29 43 37
168	13 46 18 29
169	2 49 1 10
170	40 25 39 41
171	45 33 39 18
172	2 29 39 32
173	22 8 28 43
174	55 8 20 46
175	33 56 18 32
176	2 29 3 41
177	3 8 55 25
178	13 6 41 40
179	22 43 9 55
180	5 22 45 51
181	22 49 21 39
182	31 32 4 21
183	33 15 11 8
184	34 53 43 38
185	37 20 2 43
186	4 9 36 40
187	2 9 43 56
188	59 27 54 56
189	18 46 29 38
190	23 39 32 50
191	50 19 38 22
192	51 16 23 49
193	31 41 2 42
194	47 42 4 7
195	1 12 9 26
196	20 47 58 36
197	6 13 11 39
198	36 56 41 33
199	20 40 60 23
200	55 46 49 36
201	52 36 2 1
202	12 47 55 51
203	17 7 9 13
204	32 21 28 2
205	15 6 9 19
206	38 59 8 5
207	37 7 50 17
208	24 51 11 57
209	6 37 14 55
210	23 51 20 60
211	35 12 11 28
212	37 56 23 49
213	51 32 60 16
214	51 39 55 32
215	19 25 38 33
216	19 20 41 18
217	26 8 20 22
218	49 18 39 23
219	1 52 2 27
220	4 18 14 34
221	59 44 8 41
222	10 8 4 48
223	60 45 13 12
224	26 10 42 56
225	6 38 32 27
226	55 51 56 54
227	55 54 19 16
228	30 52 32 13
229	7 31 44 18
230	37 18 46 24
231	36 54 44 3
232	24 17 7 28
233	42 60 39 45
234	6 50 59 19
235	55 18 15 10
236	25 59 49 24
237	31 44 38 39
238	55 44 20 29
239	5 17 44 35
240	54 19 11 44
241	36 52 24 60
242	60 43 8 31
243	56 34 6 51
244	33 30 60 49
245	1 48 35 30
246	1 13 28 24
247	30 45 19 54
248	20 46 19 16
249	52 24 41 6
250	42 60 34 45
251	8 10 11 18
252	51 50 27 36
253	56 40 8 5
254	50 26 60 58
255	26 36 44 6
256	35 51 60 31
257	13 54 11 52
258	2 7 52 16
259	57 36 54 11
260	46 20 59 13
261	24 30 41 18
262	4 12 3 21
263	41 15 44 48
264	12 36 48 22
265	21 47 14 28
266	3 10 5 54
267	15 47 21 24
268	29 18 12 45
269	38 18 54 13
270	31 41 8 23
271	13 32 49 42
272	11 23 24 14
273	38 35 32 44
274	56 27 20 25
275	51 37 39 36
276	47 40 52 35
277	26 12 60 52
278	18 10 46 7
279	4 41 3 57
280	34 37 23 18
281	55 45 25 11
282	20 55 57 23
283	20 59 52 38
284	49 33 52 24
285	43 32 47 48
286	12 38 7 53
287	17 60 21 47
288	54 35 49 3
289	37 3 7 43
290	60 41 23 16
291	27 60 56 5
292	33 43 60 11
293	45 22 36 41
294	28 29 41 54
295	35 52 26 7
296	10 19 41 37
297	28 12 45 37
298	44 9 36 53
299	33 2 34 13
300	53 33 5 30
301	11 3 20 24
302	30 2 43 12
303	43 35 4 24
304	49 28 59 16
305	50 41 48 6
306	40 57 52 6
307	12 47 5 31
308	49 1 29 35
309	11 17 24 44
310	49 6 26 28
311	46 9 55 1
312	50 5 32 9
313	13 1 47 24
314	15 58 17 36
315	34 29 52 47
316	51 5 8 13
317	19 57 10 20
318	5 59 10 55
