Class Times	17
Rooms	64
1	60
2	752
3	38
4	962
5	609
6	348
7	485
8	852
9	930
10	27
11	549
12	773
13	175
14	748
15	845
16	459
17	422
18	868
19	950
20	62
21	69
22	323
23	180
24	155
25	404
26	770
27	869
28	772
29	178
30	244
31	840
32	181
33	657
34	489
35	886
36	260
37	335
38	839
39	856
40	345
41	23
42	455
43	990
44	916
45	182
46	201
47	161
48	676
49	622
50	259
51	734
52	144
53	175
54	517
55	976
56	835
57	373
58	194
59	850
60	253
61	16
62	52
63	852
64	290
Classes	66
Teachers	33
1	22
2	20
3	28
4	10
5	26
6	17
7	15
8	5
9	32
10	22
11	7
12	17
13	3
14	1
15	23
16	18
17	19
18	25
19	33
20	31
21	16
22	32
23	5
24	31
25	25
26	6
27	24
28	6
29	14
30	28
31	10
32	20
33	3
34	14
35	9
36	15
37	26
38	13
39	27
40	2
41	23
42	7
43	16
44	1
45	8
46	9
47	8
48	21
49	18
50	30
51	30
52	19
53	12
54	33
55	13
56	11
57	21
58	2
59	24
60	29
61	29
62	27
63	11
64	4
65	4
66	12
