Students	557
1	20 27 7 55
2	20 42 10 28
3	3 48 17 11
4	22 12 38 29
5	2 28 20 63
6	33 53 60 40
7	45 56 38 4
8	44 10 25 41
9	33 40 54 35
10	40 49 15 57
11	29 23 30 56
12	54 14 36 10
13	30 11 26 8
14	47 34 63 50
15	39 56 2 20
16	41 30 24 33
17	26 4 8 14
18	33 34 7 46
19	35 38 16 6
20	14 50 27 51
21	12 49 40 10
22	47 16 61 41
23	14 16 58 56
24	52 13 42 41
25	5 53 42 10
26	42 49 62 27
27	19 50 63 60
28	6 17 12 25
29	51 50 29 31
30	19 14 8 22
31	51 14 52 48
32	20 35 63 19
33	8 1 55 14
34	15 24 31 46
35	62 3 30 58
36	35 66 52 46
37	63 30 47 37
38	62 61 41 66
39	48 4 6 65
40	10 57 65 23
41	55 4 15 45
42	58 51 6 4
43	8 16 41 26
44	17 28 1 19
45	49 58 24 55
46	29 55 27 16
47	52 26 18 3
48	3 14 2 22
49	62 61 20 8
50	38 62 15 19
51	12 6 7 60
52	51 56 42 41
53	11 46 12 66
54	36 52 42 35
55	9 62 34 59
56	15 58 7 16
57	58 29 55 52
58	13 58 14 35
59	19 38 32 24
60	52 31 20 29
61	20 22 2 43
62	55 37 28 13
63	27 51 3 53
64	9 54 62 45
65	42 1 24 61
66	14 18 35 41
67	65 40 60 30
68	5 62 31 36
69	16 29 2 9
70	21 18 44 11
71	26 23 53 50
72	52 33 51 14
73	32 16 66 15
74	23 40 31 63
75	36 34 7 2
76	52 64 51 62
77	7 21 33 9
78	61 52 46 45
79	23 42 19 4
80	26 2 9 30
81	25 61 63 15
82	12 15 4 7
83	49 35 24 19
84	37 14 38 39
85	5 53 4 19
86	9 19 15 45
87	35 19 5 17
88	20 48 28 59
89	23 44 3 57
90	51 12 6 10
91	57 10 64 63
92	29 52 46 39
93	40 46 8 24
94	42 58 7 45
95	23 66 31 52
96	31 38 20 40
97	2 43 58 16
98	11 62 1 60
99	43 52 28 34
100	60 26 9 29
101	37 38 15 44
102	18 34 60 25
103	60 17 21 61
104	10 60 39 26
105	4 35 24 5
106	46 22 28 32
107	14 24 4 65
108	8 30 22 36
109	54 34 59 65
110	61 8 46 27
111	27 3 10 60
112	46 54 61 34
113	26 13 43 47
114	29 23 42 25
115	61 36 12 40
116	6 34 2 23
117	43 56 44 18
118	40 31 63 32
119	44 6 36 27
120	22 9 40 51
121	2 27 20 31
122	2 58 64 26
123	54 63 18 7
124	30 41 27 3
125	48 20 54 23
126	11 64 22 65
127	13 20 11 63
128	25 51 62 45
129	3 34 17 39
130	14 15 26 44
131	25 14 23 43
132	44 19 43 31
133	34 58 57 44
134	9 14 26 57
135	46 43 40 2
136	7 30 45 47
137	16 13 25 56
138	22 8 59 48
139	18 43 8 49
140	43 24 32 2
141	26 27 29 48
142	44 38 43 7
143	46 28 57 27
144	9 22 27 35
145	48 19 47 15
146	7 21 66 40
147	55 47 11 49
148	50 1 53 39
149	65 10 42 4
150	32 21 57 62
151	58 60 10 28
152	66 43 59 41
153	50 12 62 59
154	55 41 24 47
155	41 65 1 12
156	7 10 17 22
157	5 49 55 41
158	22 65 54 11
159	15 5 51 58
160	47 6 34 48
161	57 32 22 3
162	13 42 17 46
163	38 17 28 11
164	9 5 47 19
165	13 44 42 66
166	4 46 2 61
167	35 27 36 5
168	50 52 37 12
169	50 46 6 1
170	57 31 16 52
171	30 45 44 10
172	10 44 53 19
173	65 8 41 62
174	62 28 44 54
175	64 45 3 34
176	59 41 38 51
177	36 26 63 61
178	35 54 58 55
179	14 28 35 48
180	2 63 15 7
181	57 54 31 55
182	58 28 55 8
183	1 57 21 50
184	29 40 47 3
185	51 44 29 34
186	20 25 21 24
187	28 13 24 51
188	1 42 15 12
189	62 43 6 31
190	25 6 21 5
191	59 21 52 13
192	46 60 43 51
193	14 9 34 43
194	39 26 49 3
195	25 33 64 39
196	33 29 50 63
197	9 30 39 37
198	31 58 9 39
199	19 66 55 6
200	9 43 59 64
201	20 35 46 33
202	57 25 4 45
203	43 36 51 50
204	59 3 12 40
205	36 59 30 6
206	15 10 14 18
207	10 28 45 50
208	20 36 53 1
209	66 18 62 58
210	15 23 39 46
211	11 14 40 16
212	12 8 21 57
213	1 16 43 55
214	60 49 6 34
215	45 39 30 3
216	5 32 7 28
217	31 16 33 66
218	4 47 51 38
219	29 1 40 51
220	10 60 6 54
221	29 56 52 37
222	59 25 66 26
223	66 30 65 32
224	11 10 49 22
225	9 24 5 18
226	24 41 3 58
227	34 24 30 48
228	45 24 42 54
229	61 5 16 27
230	54 36 66 9
231	8 66 9 25
232	43 45 22 55
233	28 63 18 59
234	1 64 9 27
