Students	749
1	6 54 42 34 18
2	14 29 24 63 38
3	28 34 23 24 46
4	16 46 10 8 18
5	36 66 59 52 25
6	24 21 7 70 71
7	53 18 32 64 41
8	9 51 18 23 64
9	11 31 4 10 18
10	12 36 48 61 25
11	48 55 9 69 59
12	17 40 34 25 5
13	55 68 51 18 28
14	33 46 45 55 30
15	2 23 33 3 34
16	24 49 30 16 51
17	66 71 2 58 25
18	61 15 40 9 32
19	16 37 61 65 21
20	42 11 41 29 6
21	56 59 43 17 65
22	45 48 68 39 32
23	49 61 41 72 27
24	41 29 2 16 30
25	28 62 58 40 61
26	31 14 72 35 68
27	55 44 20 64 65
28	32 64 17 30 12
29	59 29 60 6 35
30	72 51 66 4 67
31	5 26 58 52 53
32	57 10 22 27 58
33	2 53 68 58 1
34	36 30 8 38 12
35	40 29 23 43 39
36	65 15 35 68 72
37	29 40 9 65 12
38	22 52 43 24 40
39	23 14 33 36 10
40	45 42 29 51 65
41	58 52 40 56 20
42	14 62 6 49 9
43	60 8 42 17 26
44	68 51 8 53 4
45	2 4 41 33 62
46	40 58 68 12 20
47	17 16 26 40 3
48	60 72 51 56 37
49	41 36 58 53 1
50	17 49 29 45 55
51	24 5 49 61 66
52	44 61 70 34 9
53	57 51 12 63 19
54	3 12 45 13 49
55	20 23 43 70 65
56	31 5 36 3 4
57	26 64 10 38 27
58	15 66 8 62 4
59	13 53 8 18 33
60	59 14 47 38 65
61	54 11 40 20 13
62	33 69 13 66 31
63	7 42 10 28 30
64	69 57 28 26 38
65	47 67 41 2 11
66	66 26 30 32 9
67	11 55 61 22 1
68	68 29 1 61 18
69	57 27 49 44 29
70	22 19 56 48 57
71	65 16 63 17 21
72	62 28 31 70 34
73	7 1 29 3 69
74	19 50 26 2 15
75	28 61 27 11 13
76	55 8 31 15 64
77	3 32 37 33 1
78	30 64 3 72 47
79	24 58 29 19 50
80	59 19 49 29 52
81	39 22 37 62 52
82	65 64 28 48 46
83	48 33 44 14 36
84	32 30 31 49 1
85	42 21 47 46 9
86	35 33 34 44 36
87	23 24 57 20 61
88	32 24 8 61 62
89	26 12 25 39 11
90	58 29 47 33 13
91	68 69 51 46 54
92	5 29 48 33 4
93	25 35 23 46 71
94	23 67 19 11 12
95	71 1 50 38 68
96	47 42 52 43 5
97	3 60 30 68 37
98	46 45 36 13 63
99	48 8 15 5 20
100	46 69 42 37 35
101	57 18 58 47 29
102	22 9 70 56 31
103	71 24 45 58 47
104	72 33 55 16 45
105	18 12 15 61 60
106	54 15 40 71 45
107	19 53 2 41 64
108	62 31 36 39 46
109	23 44 58 45 15
110	16 29 35 69 54
111	40 24 18 44 69
112	10 57 15 53 19
113	52 67 12 44 33
114	70 50 16 18 23
115	57 68 62 54 14
116	19 48 51 70 35
117	25 60 32 40 19
118	61 12 33 57 45
119	41 29 47 15 32
120	71 24 27 5 40
121	30 69 17 5 27
122	69 68 2 6 7
123	14 19 51 26 36
124	52 36 34 60 46
125	32 61 8 29 16
126	69 31 8 14 53
127	64 42 32 30 5
128	13 4 22 42 38
129	51 72 20 36 61
130	61 37 68 10 41
131	20 52 58 1 30
132	46 58 54 71 1
133	61 72 29 63 35
134	9 24 52 53 18
135	9 44 42 11 41
136	64 41 62 37 71
137	45 58 4 23 57
138	72 64 71 67 1
139	29 3 8 36 34
140	44 49 36 27 47
141	55 48 25 3 44
142	55 23 22 11 67
143	72 36 33 29 57
144	14 13 53 21 52
145	57 35 49 59 71
146	21 44 15 36 53
147	68 47 34 49 15
148	51 13 20 26 71
149	41 24 71 30 51
150	31 11 34 13 47
151	39 70 69 2 63
152	21 44 58 6 56
153	56 34 54 55 43
154	12 21 30 43 38
155	46 56 22 19 64
156	53 56 64 59 10
157	66 11 2 46 31
158	21 39 63 33 38
159	36 1 56 71 60
160	26 62 42 50 24
161	43 6 64 46 26
162	15 33 46 67 64
163	49 8 7 66 59
164	11 53 1 13 12
165	10 50 6 37 39
166	16 20 21 15 27
167	18 11 20 34 19
168	29 25 32 49 45
169	18 40 9 70 43
170	8 7 64 30 3
171	47 2 39 11 49
172	55 8 31 21 47
173	17 2 47 64 62
174	60 26 63 7 67
175	65 15 53 7 16
176	55 60 52 10 58
177	13 49 10 60 37
178	11 60 59 38 49
179	19 65 60 33 67
180	12 71 49 68 39
181	32 12 27 35 46
182	29 58 68 16 20
183	3 43 33 68 29
184	36 23 13 24 30
185	48 25 13 5 54
186	55 64 62 9 40
187	71 62 60 8 50
188	31 67 68 25 26
189	37 5 61 56 34
190	60 36 65 10 42
191	33 23 37 55 1
192	20 60 52 28 44
193	8 46 19 9 3
194	34 32 55 43 58
195	43 3 52 65 20
196	58 66 16 13 12
197	32 19 42 46 3
198	14 47 56 4 6
199	18 66 55 43 58
200	40 32 63 21 56
201	66 5 44 54 22
202	22 20 43 33 66
203	64 20 29 27 47
204	54 10 60 30 22
205	68 12 23 50 40
206	1 49 8 39 28
207	65 32 21 38 42
208	27 58 4 64 2
209	51 60 55 18 61
210	20 8 17 38 62
211	18 37 48 17 67
212	52 28 20 8 51
213	28 41 24 18 21
214	38 70 2 24 43
215	8 26 69 38 25
216	30 42 9 72 36
217	27 49 20 11 14
218	26 24 54 71 9
219	53 41 48 10 72
220	52 21 48 47 30
221	48 11 13 67 17
222	21 16 31 67 51
223	71 62 55 15 43
224	22 24 4 43 29
225	37 33 66 72 28
226	66 60 30 45 25
227	22 26 25 1 47
228	34 40 70 68 66
229	18 70 3 32 20
230	3 15 68 40 23
231	16 39 27 71 3
232	57 18 24 43 53
233	55 45 11 19 36
234	19 33 9 70 8
235	28 59 25 51 23
236	48 49 41 20 69
237	54 46 72 25 7
238	41 58 38 14 31
239	17 50 57 46 26
240	38 15 5 2 20
241	68 11 17 42 54
242	60 43 3 27 72
243	6 67 22 31 11
244	18 56 65 1 34
245	10 63 56 17 32
246	61 46 44 30 40
247	56 41 60 32 39
248	15 12 42 30 41
249	71 51 31 9 34
250	24 67 21 26 49
251	29 49 11 59 66
252	7 18 45 50 57
253	65 70 10 52 7
254	3 47 57 19 55
255	62 4 67 30 68
256	9 20 50 35 64
257	70 44 18 61 35
258	30 29 5 66 56
259	31 65 26 40 59
260	51 8 63 3 70
261	59 54 20 43 35
262	9 53 66 23 7
263	16 69 68 4 1
264	9 72 49 38 5
265	49 2 8 46 6
266	55 54 72 39 13
267	6 28 41 25 1
268	61 20 70 24 65
269	42 27 30 40 25
270	28 7 36 71 3
271	18 43 65 62 69
272	41 24 55 53 63
273	55 17 42 9 41
274	8 21 58 68 47
275	36 15 32 41 7
276	10 4 69 37 71
277	10 50 28 39 8
278	38 49 9 4 3
279	36 56 37 16 2
280	26 20 17 61 27
281	6 68 37 47 57
282	24 6 52 16 4
283	21 55 11 34 65
284	21 7 42 62 55
285	49 35 68 21 39
286	13 45 21 10 16
287	41 14 44 4 67
288	23 24 11 16 6
289	59 27 18 21 35
290	69 54 63 58 64
291	18 53 4 69 15
292	31 65 24 30 5
293	38 69 57 68 1
294	24 36 69 3 40
295	33 26 71 31 38
296	68 46 13 12 57
297	17 42 41 37 4
298	56 69 39 38 7
299	8 22 46 71 64
300	63 48 42 27 14
301	7 72 11 9 8
302	10 32 11 57 49
303	60 56 12 50 55
304	22 23 53 20 70
305	24 2 65 67 1
306	31 70 39 36 60
307	12 52 11 50 58
308	51 18 43 54 7
309	36 20 46 51 11
310	11 1 52 70 44
311	29 47 30 2 62
312	3 37 61 68 56
313	27 52 57 14 53
314	67 27 34 36 38
315	56 71 7 47 66
316	59 5 38 48 43
317	61 9 14 34 43
318	14 58 61 67 42
319	61 51 32 36 62
320	14 67 50 16 25
321	3 64 33 8 13
322	53 68 67 6 3
323	26 16 10 48 37
324	66 48 1 50 6
325	5 45 65 28 62
326	60 40 58 32 3
327	17 16 14 54 2
328	45 12 57 32 33
329	69 59 37 55 13
330	29 72 57 19 40
331	44 35 1 19 67
332	69 32 31 52 49
333	16 20 14 21 29
334	13 56 3 33 8
335	2 67 1 25 33
336	5 58 32 37 7
337	5 48 60 52 54
338	14 44 8 63 40
339	67 8 52 59 69
340	24 37 12 1 56
341	37 3 41 43 6
342	36 11 53 19 27
343	2 42 71 21 64
344	5 61 4 12 22
345	36 25 65 49 35
346	13 10 60 61 38
347	56 23 62 10 26
348	64 31 66 33 37
349	8 62 14 35 32
350	43 52 18 50 16
