Class Times	34
Rooms	82
1	893
2	310
3	105
4	868
5	702
6	690
7	330
8	105
9	107
10	795
11	461
12	745
13	491
14	766
15	174
16	969
17	713
18	172
19	411
20	741
21	213
22	200
23	918
24	597
25	520
26	626
27	833
28	762
29	754
30	35
31	906
32	312
33	700
34	598
35	499
36	289
37	539
38	214
39	572
40	527
41	126
42	731
43	597
44	705
45	467
46	784
47	860
48	38
49	707
50	12
51	53
52	834
53	88
54	923
55	772
56	16
57	29
58	899
59	249
60	532
61	118
62	456
63	426
64	840
65	138
66	372
67	753
68	75
69	719
70	898
71	58
72	589
73	305
74	273
75	656
76	209
77	825
78	86
79	228
80	934
81	875
82	338
Classes	30
Teachers	15
1	5
2	9
3	12
4	1
5	12
6	5
7	15
8	4
9	10
10	6
11	3
12	13
13	4
14	11
15	3
16	2
17	7
18	6
19	2
20	14
21	8
22	1
23	8
24	13
25	15
26	9
27	10
28	11
29	14
30	7
