Class Times	14
Rooms	71
1	166
2	213
3	159
4	817
5	822
6	62
7	652
8	814
9	557
10	933
11	518
12	650
13	376
14	131
15	43
16	69
17	909
18	366
19	152
20	503
21	488
22	311
23	766
24	989
25	624
26	380
27	492
28	24
29	200
30	808
31	226
32	922
33	419
34	614
35	927
36	630
37	265
38	332
39	888
40	91
41	752
42	927
43	297
44	938
45	411
46	386
47	857
48	564
49	602
50	244
51	335
52	517
53	982
54	666
55	642
56	250
57	646
58	668
59	918
60	44
61	255
62	194
63	846
64	793
65	37
66	734
67	453
68	489
69	647
70	188
71	986
Classes	60
Teachers	55
1	30
2	11
3	16
4	7
5	13
6	21
7	43
8	42
9	3
10	7
11	9
12	48
13	39
14	31
15	17
16	17
17	13
18	39
19	14
20	11
21	37
22	53
23	37
24	14
25	16
26	20
27	47
28	10
29	25
30	48
31	30
32	2
33	23
34	29
35	8
36	2
37	18
38	24
39	9
40	29
41	28
42	34
43	31
44	22
45	20
46	1
47	19
48	5
49	22
50	54
51	34
52	52
53	23
54	6
55	51
56	50
57	44
58	36
59	3
60	12
