Class Times	33
Rooms	70
1	152
2	360
3	911
4	798
5	303
6	326
7	513
8	635
9	997
10	732
11	802
12	902
13	707
14	778
15	213
16	861
17	197
18	215
19	491
20	393
21	48
22	869
23	686
24	339
25	565
26	252
27	232
28	286
29	310
30	660
31	432
32	531
33	511
34	574
35	62
36	407
37	97
38	775
39	919
40	665
41	716
42	572
43	943
44	735
45	261
46	283
47	881
48	273
49	501
50	288
51	156
52	432
53	291
54	805
55	118
56	963
57	828
58	981
59	554
60	449
61	523
62	756
63	415
64	542
65	156
66	21
67	429
68	462
69	627
70	478
Classes	36
Teachers	20
1	19
2	4
3	11
4	13
5	8
6	19
7	13
8	10
9	2
10	15
11	10
12	18
13	3
14	20
15	14
16	11
17	1
18	4
19	2
20	16
21	8
22	20
23	17
24	7
25	17
26	14
27	3
28	5
29	12
30	7
31	9
32	16
33	1
34	15
35	6
36	6
