Students	791
1	38 34 52 58 17
2	28 40 32 60 55
3	32 19 37 38 27
4	12 29 11 38 9
5	34 29 54 59 28
6	39 6 46 27 44
7	41 42 50 17 47
8	6 13 1 46 40
9	11 1 24 53 4
10	17 10 53 40 19
11	38 59 41 14 43
12	25 55 34 1 52
13	27 19 28 47 42
14	12 46 36 54 58
15	15 55 37 44 28
16	21 31 26 34 6
17	25 56 21 44 15
18	54 29 46 34 42
19	43 10 51 41 37
20	53 25 42 51 20
21	31 16 57 36 40
22	50 10 22 34 60
23	44 59 28 50 36
24	56 35 38 34 4
25	6 4 21 42 32
26	2 30 47 36 43
27	7 29 28 36 3
28	7 34 36 48 31
29	29 48 43 9 14
30	51 38 9 8 21
31	8 56 57 19 28
32	49 11 2 9 55
33	27 4 60 48 47
34	30 25 47 21 51
35	24 50 35 13 15
36	13 6 24 57 35
37	37 33 25 22 15
38	56 43 7 4 13
39	17 11 39 16 22
40	9 23 37 24 48
41	2 29 52 28 16
42	34 54 8 39 13
43	41 27 13 54 2
44	29 34 59 42 49
45	9 46 39 24 10
46	19 20 45 1 44
47	15 19 3 30 60
48	59 11 56 58 4
49	1 7 9 33 39
50	5 7 3 18 49
51	40 15 25 27 11
52	13 8 58 47 16
53	3 60 20 43 24
54	53 18 12 49 24
55	56 33 45 37 29
56	44 41 59 60 17
57	5 40 8 42 53
58	17 5 60 59 36
59	42 15 21 17 16
60	22 8 17 19 52
61	35 15 54 38 23
62	30 3 29 41 58
63	9 37 16 6 51
64	33 10 30 29 52
65	1 25 45 58 7
66	25 59 52 19 6
67	26 24 20 19 13
68	16 45 37 40 43
69	8 34 1 15 45
70	21 12 9 37 36
71	8 45 5 4 14
72	14 28 11 49 30
73	2 34 60 57 1
74	47 48 21 46 32
75	59 14 10 55 54
76	54 35 37 6 58
77	24 23 53 30 54
78	47 33 18 53 45
79	6 29 12 57 16
80	41 47 20 6 13
81	48 56 36 7 16
82	45 13 30 50 57
83	37 12 24 25 56
84	15 8 2 56 38
85	57 59 60 7 20
86	47 32 60 34 40
87	28 7 5 30 57
88	58 3 51 7 23
89	49 14 48 1 35
90	19 46 14 25 18
91	37 43 4 14 58
92	9 11 37 57 3
93	14 54 23 5 1
94	16 43 44 53 55
95	5 60 24 19 28
96	51 32 6 34 25
97	26 49 47 24 54
98	11 3 29 56 36
99	57 45 15 42 3
100	46 11 58 56 34
101	54 18 21 20 32
102	45 8 6 41 14
103	6 52 40 34 45
104	23 43 59 27 19
105	20 33 2 12 43
106	36 12 39 50 30
107	42 1 32 39 34
108	23 57 31 46 39
109	26 14 58 55 15
110	34 23 51 19 41
111	30 41 10 28 54
112	14 23 33 11 35
113	57 40 16 6 29
114	36 58 39 45 26
115	44 22 38 41 37
116	2 30 55 51 11
117	11 7 57 52 41
118	41 12 38 19 40
119	14 29 58 30 24
120	34 60 43 53 22
121	1 50 17 15 2
122	45 4 42 25 41
123	40 23 12 21 3
124	28 11 43 54 17
125	14 7 5 27 35
126	26 5 2 17 7
127	58 54 40 10 4
128	40 48 10 49 27
129	41 45 31 7 47
130	52 54 55 50 47
131	4 57 58 44 15
132	30 4 37 52 25
133	24 51 18 54 26
134	15 53 4 17 21
135	45 51 24 54 32
136	50 22 18 60 52
137	53 35 5 50 20
138	9 5 57 12 14
139	60 48 15 17 45
140	14 44 12 19 38
141	31 23 22 49 60
