Class Times	46
Rooms	86
1	970
2	756
3	420
4	79
5	752
6	91
7	382
8	849
9	773
10	588
11	116
12	781
13	939
14	581
15	559
16	659
17	178
18	521
19	475
20	548
21	902
22	835
23	88
24	204
25	622
26	353
27	110
28	763
29	222
30	15
31	930
32	723
33	140
34	590
35	308
36	289
37	529
38	205
39	50
40	140
41	601
42	860
43	922
44	403
45	72
46	605
47	498
48	443
49	206
50	426
51	920
52	12
53	325
54	410
55	810
56	928
57	20
58	746
59	412
60	876
61	115
62	244
63	828
64	143
65	903
66	878
67	619
68	716
69	369
70	135
71	481
72	480
73	269
74	312
75	539
76	847
77	995
78	986
79	764
80	346
81	918
82	316
83	917
84	287
85	55
86	477
Classes	52
Teachers	34
1	17
2	13
3	29
4	15
5	34
6	3
7	8
8	22
9	18
10	16
11	33
12	19
13	15
14	30
15	21
16	5
17	32
18	11
19	8
20	34
21	13
22	23
23	32
24	5
25	28
26	30
27	4
28	4
29	31
30	31
31	14
32	26
33	22
34	10
35	33
36	2
37	28
38	11
39	7
40	6
41	6
42	7
43	16
44	27
45	27
46	10
47	24
48	17
49	20
50	23
51	20
52	12
