Students	1188
1	68 82 4 40
2	74 55 87 46
3	60 39 67 4
4	38 60 9 19
5	91 30 80 21
6	24 69 37 29
7	86 46 55 66
8	40 21 15 85
9	63 23 61 89
10	41 42 49 31
11	22 91 71 27
12	67 89 85 41
13	42 7 30 79
14	38 7 48 92
15	5 31 68 64
16	26 11 87 72
17	95 87 44 28
18	62 45 18 39
19	90 76 28 21
20	89 63 38 46
21	94 87 89 3
22	18 46 8 59
23	12 28 95 26
24	6 75 78 20
25	43 55 26 96
26	60 88 20 42
27	66 72 33 13
28	3 86 50 30
29	64 95 92 45
30	76 41 29 73
31	31 91 84 63
32	86 63 44 28
33	2 25 14 91
34	76 67 2 81
35	10 77 11 76
36	48 67 79 56
37	84 15 9 47
38	29 11 28 89
39	81 65 62 84
40	46 43 49 63
41	23 21 79 31
42	44 94 27 43
43	57 91 44 53
44	12 87 83 11
45	21 63 8 76
46	3 23 32 6
47	6 39 58 23
48	4 8 52 91
49	79 7 2 68
50	12 80 41 37
51	52 34 95 14
52	23 18 45 33
53	6 22 90 29
54	72 70 55 48
55	77 81 59 8
56	26 29 67 21
57	60 68 4 32
58	65 49 87 84
59	72 46 73 76
60	1 46 37 49
61	88 96 5 44
62	25 62 61 68
63	62 85 36 71
64	29 81 94 37
65	79 60 84 48
66	83 27 57 18
67	59 89 53 93
68	75 43 66 53
69	51 25 18 64
70	25 30 34 90
71	49 31 1 4
72	63 62 64 80
73	32 34 61 6
74	14 9 78 30
75	89 64 49 55
76	77 38 69 9
77	52 56 10 54
78	35 17 16 49
79	49 74 89 81
80	47 86 55 93
81	18 77 54 22
82	49 82 24 68
83	72 40 32 70
84	7 73 77 96
85	63 17 6 5
86	71 19 94 45
87	65 96 7 63
88	22 24 73 51
89	1 8 36 61
90	51 52 86 77
91	96 62 20 15
92	4 37 92 6
93	75 86 73 64
94	96 14 26 84
95	22 69 55 70
96	44 90 86 18
97	40 45 48 32
98	31 74 57 51
99	53 96 74 81
100	82 63 34 24
101	1 48 88 47
102	30 77 32 80
103	57 42 27 14
104	17 53 93 58
105	24 15 58 62
106	72 57 79 29
107	15 95 87 76
108	73 38 26 13
109	43 72 15 36
110	86 8 31 73
111	72 13 70 71
112	63 84 51 3
113	14 1 19 34
114	28 87 23 69
115	49 46 57 18
116	18 42 75 73
117	20 43 36 89
118	46 80 41 36
119	39 90 33 60
120	10 96 83 36
121	78 80 58 18
122	56 50 73 4
123	63 88 43 25
124	34 9 10 38
125	83 43 53 29
126	47 19 93 70
127	89 34 84 81
128	31 90 95 21
129	36 35 9 51
130	53 31 81 75
131	51 21 65 29
132	7 93 58 63
133	33 79 2 69
134	16 31 75 60
135	19 16 53 50
136	95 24 3 57
137	76 14 71 62
138	9 38 72 17
139	12 32 24 19
140	92 58 76 56
141	92 73 57 32
142	40 92 11 61
143	47 54 72 61
144	2 52 93 88
145	65 17 10 20
146	50 36 5 39
147	70 39 32 87
148	89 17 81 67
149	63 9 40 80
150	42 74 32 71
151	8 86 20 75
152	30 85 88 70
153	1 84 42 47
154	44 34 71 17
155	26 72 27 23
156	23 24 77 35
157	22 67 87 93
158	40 48 69 34
159	53 7 58 30
160	57 37 94 31
161	63 89 80 66
162	78 38 54 12
163	15 94 50 72
164	20 6 96 10
165	8 64 30 88
166	88 39 76 51
167	28 44 32 92
168	90 11 17 72
169	77 58 83 48
170	2 14 18 96
171	5 67 60 61
172	84 52 40 11
173	43 39 84 51
174	79 38 17 71
175	80 87 90 38
176	21 76 93 50
177	90 20 96 50
178	53 61 29 91
179	27 85 31 65
180	21 30 77 27
181	1 92 52 61
182	83 90 82 30
183	35 16 74 36
184	62 28 80 67
185	27 86 5 31
186	26 63 74 92
187	31 91 8 29
188	75 67 49 47
189	1 38 56 20
190	21 94 18 77
191	42 14 30 39
192	9 4 77 45
193	24 60 1 25
194	75 46 35 72
195	89 53 73 78
196	19 75 10 44
197	56 90 62 81
198	59 56 96 79
199	81 23 73 66
200	63 36 11 51
201	70 90 35 91
202	56 54 22 29
203	13 69 51 3
204	36 60 38 70
205	85 32 25 33
206	61 46 28 63
207	53 27 49 48
208	13 63 27 34
209	72 95 87 47
210	63 80 31 70
211	19 5 14 50
212	61 58 67 69
213	65 93 26 91
214	46 49 21 90
215	7 16 58 55
216	87 73 82 23
217	7 1 86 85
218	3 1 16 33
219	51 43 54 73
220	6 87 9 60
221	31 82 91 79
222	73 53 29 26
223	10 2 64 60
224	75 58 28 19
225	85 18 17 53
226	80 3 59 36
227	73 5 66 43
228	38 88 44 58
229	57 24 56 91
230	21 42 58 25
231	54 93 51 77
232	82 86 39 83
233	8 92 2 46
234	63 96 93 22
235	19 66 37 59
