Course	Room	Teacher	Time	Students
1	20	18	7	14 19 37 52 87 97 110 130 187 210 212 227 260 268 297 326 359 388 406 407 426 434 438 501 591 605 610 
2	13	33	11	42 91 114 197 238 248 251 252 287 288 334 346 373 382 445 455 470 476 477 592 
3	20	27	1	19 26 27 30 57 108 118 120 183 188 202 241 256 334 368 376 397 414 494 525 530 539 576 612 624 
4	51	36	5	20 45 64 74 85 103 122 138 148 186 196 207 223 229 238 262 286 294 300 330 335 373 414 424 441 453 483 495 525 545 614 
5	20	12	11	66 88 105 115 133 135 146 206 216 224 229 236 247 258 274 330 353 376 396 403 491 507 519 571 577 588 624 
6	20	23	13	61 78 131 207 258 263 284 285 289 291 371 395 406 412 461 464 466 467 469 516 530 534 551 572 599 622 
7	55	21	14	20 57 71 118 127 183 202 213 219 251 295 298 320 341 363 364 365 370 401 441 480 522 533 
8	55	10	7	35 103 106 120 138 169 217 316 320 333 343 392 400 409 417 437 453 462 520 526 542 543 573 596 
9	13	22	5	41 47 141 150 156 160 203 209 228 237 244 257 321 336 349 372 378 389 412 485 494 515 540 
10	13	6	4	107 111 115 117 125 134 168 172 216 314 341 356 418 432 445 451 459 475 532 538 561 591 615 
11	42	34	9	7 63 108 114 119 129 158 165 166 186 245 258 267 297 302 315 333 348 399 422 465 474 475 494 513 515 576 578 599 
12	51	28	6	2 14 23 25 47 50 67 76 91 105 160 162 194 289 315 344 347 371 372 375 408 425 435 467 473 487 500 546 561 565 590 591 625 
13	32	35	12	10 31 49 58 70 80 116 136 153 172 187 203 241 262 273 275 317 339 350 404 440 441 470 506 512 565 575 588 627 
14	20	20	2	26 86 102 142 188 214 224 230 232 264 282 336 350 410 418 436 439 444 448 465 470 486 502 588 595 624 
15	20	36	3	1 2 27 32 36 93 103 110 118 120 161 198 222 230 261 275 293 315 332 338 383 399 419 491 533 589 612 
16	32	16	2	18 50 107 134 148 165 166 175 184 203 245 252 259 277 316 318 321 324 331 356 366 377 406 446 488 557 569 570 574 604 
17	32	33	9	11 73 74 81 111 136 162 176 240 270 271 273 296 355 374 406 411 415 427 437 440 503 511 537 539 541 544 590 607 615 
18	55	43	10	2 27 61 64 65 69 90 167 179 181 231 245 265 292 385 407 416 486 500 540 541 544 547 578 619 625 
19	20	25	14	79 167 174 176 191 308 316 336 354 371 377 393 421 423 448 454 457 493 510 547 560 582 600 604 615 622 
20	42	38	6	44 57 100 101 122 161 177 192 210 222 225 236 309 342 366 380 390 420 466 469 503 504 534 535 581 586 597 621 622 
21	48	40	3	3 15 89 107 123 163 191 193 204 320 331 353 429 484 489 557 590 617 
22	48	12	5	3 54 111 139 142 171 247 285 289 307 354 384 468 471 530 536 549 612 
23	20	10	12	25 34 38 45 75 81 91 97 137 180 182 194 195 208 216 321 415 457 458 459 518 522 535 589 607 621 
24	51	23	12	36 55 69 76 88 93 106 151 168 222 225 307 314 337 352 353 355 360 369 370 386 436 443 451 461 511 531 538 547 566 586 599 
25	51	30	3	4 5 9 21 24 34 49 63 94 115 149 154 178 206 235 251 287 299 318 324 325 340 361 380 407 430 434 446 455 498 506 520 537 597 620 
