Course	Room	Teacher	Time	Students
1	33	24	16	23 67 68 79 88 102 104 112 122 163 180 207 216 243 262 270 311 326 329 348 374 405 423 449 477 488 502 506 541 554 583 608 627 664 670 700 708 721 747 781 788 800 815 843 859 861 883 955 959 989 993 998 1022 1030 1036 1076 1080 1083 1089 1097 1116 1135 1161 1203 1230 1244 1268 1314 1334 1362 
2	33	15	22	29 34 36 43 51 85 126 128 131 168 186 205 214 215 266 268 274 325 327 342 357 367 381 384 426 430 442 558 586 592 603 644 690 745 753 826 859 860 867 902 983 987 999 1007 1014 1034 1051 1065 1071 1097 1138 1139 1154 1180 1184 1211 1215 1229 1253 1305 1312 1329 1337 1344 
3	64	31	39	4 28 39 41 53 76 90 101 106 153 165 177 185 192 205 209 212 218 248 287 288 310 349 351 374 376 393 409 410 415 417 433 448 468 490 568 619 620 655 686 687 723 724 790 796 799 813 814 849 866 868 874 884 918 973 1010 1039 1100 1106 1111 1148 1172 1184 1209 1210 1219 1222 1233 1240 1262 1279 1308 1335 1338 1367 1373 
4	64	33	37	35 40 44 84 113 121 128 134 163 214 237 240 285 286 289 295 296 297 309 326 330 331 346 359 369 381 399 403 453 466 481 524 530 559 578 608 646 670 671 691 726 744 770 791 797 877 887 891 893 910 921 948 958 965 1016 1040 1041 1042 1096 1108 1124 1132 1135 1169 1191 1199 1229 1249 1250 1256 1264 1285 1288 1330 1331 1345 1382 
5	33	10	28	1 57 86 97 102 106 173 186 199 251 291 304 349 360 371 400 410 429 446 475 482 507 513 515 523 574 589 658 684 710 732 758 800 805 860 925 926 945 946 951 1001 1011 1013 1021 1030 1064 1105 1113 1131 1163 1167 1193 1234 1235 1253 1267 1292 1299 1311 1321 1370 
6	64	33	9	28 36 47 50 61 75 92 100 111 112 133 158 170 178 201 203 222 252 282 284 298 373 402 430 432 437 458 476 499 510 519 523 548 556 592 594 615 618 626 628 650 666 688 689 726 727 736 746 756 761 769 785 813 900 936 942 951 970 994 1034 1051 1062 1076 1079 1080 1083 1094 1095 1115 1142 1165 1167 1198 1200 1238 1246 1257 1260 1266 1296 1322 1336 1342 1368 1372 1381 
7	64	7	27	29 35 84 89 123 125 136 160 162 165 177 193 194 231 244 245 255 256 257 277 285 300 316 323 324 362 363 377 379 398 419 431 436 444 466 469 501 528 610 623 625 627 638 653 663 683 697 708 719 737 775 779 782 793 840 842 863 866 888 897 931 933 945 1020 1094 1117 1161 1197 1220 1233 1235 1254 1260 1272 1284 1293 1330 1347 1359 1369 1372 1375 
8	33	19	4	4 61 96 130 172 177 181 185 201 206 220 228 231 232 252 300 301 334 341 366 388 423 453 459 500 505 535 544 564 599 600 614 617 625 641 653 734 742 760 777 791 798 825 837 843 928 941 947 977 979 986 1003 1004 1014 1018 1043 1060 1104 1106 1125 1135 1159 1190 1248 1250 1263 1278 1304 1314 1328 1357 1376 
9	33	32	13	16 45 60 66 94 95 143 151 178 186 198 211 224 231 274 321 323 341 345 347 368 403 409 435 454 459 480 526 532 540 581 584 593 596 600 607 640 681 691 716 751 752 762 788 794 801 826 890 899 910 913 922 934 952 957 987 1028 1029 1033 1059 1061 1112 1125 1135 1162 1163 1177 1183 1214 1258 1280 1345 
10	64	27	35	6 14 28 54 57 63 76 92 101 107 121 146 148 167 210 216 223 238 275 278 321 350 352 353 386 389 395 439 442 470 478 492 495 547 551 558 562 565 592 675 703 707 720 729 747 764 784 818 822 839 844 862 884 886 893 950 968 1001 1019 1027 1063 1081 1092 1093 1105 1161 1162 1193 1208 1239 1244 1255 1256 1259 1281 1287 1317 1328 
